order_id,customer_id,product_id,order_date,quantity
1,67,15,2023-04-14 00:00:00,1
2,53,10,2023-05-19 00:00:00,3
3,68,19,2023-03-08 00:00:00,3
4,62,1,2023-10-15 00:00:00,1
5,15,10,2023-01-21 00:00:00,3
6,97,12,2023-09-12 00:00:00,4
7,5,18,2023-10-12 00:00:00,1
8,68,10,2023-10-11 00:00:00,1
9,12,1,2023-04-05 00:00:00,3
10,87,17,2023-05-17 00:00:00,3
11,78,11,2023-08-03 00:00:00,2
12,76,5,2023-04-10 00:00:00,3
13,57,4,2023-05-16 00:00:00,1
14,17,20,2023-03-13 00:00:00,1
15,25,9,2023-06-17 00:00:00,2
16,30,15,2023-01-17 00:00:00,2
17,22,1,2023-10-19 00:00:00,1
18,26,20,2023-01-29 00:00:00,2
19,81,9,2023-07-09 00:00:00,1
20,61,8,2023-04-22 00:00:00,3
21,62,14,2023-07-30 00:00:00,1
22,84,18,2023-12-17 00:00:00,2
23,34,1,2023-08-24 00:00:00,3
24,33,12,2023-01-13 00:00:00,1
25,71,5,2023-06-07 00:00:00,1
26,86,1,2023-07-06 00:00:00,2
27,32,11,2023-07-15 00:00:00,2
28,14,15,2023-09-06 00:00:00,4
29,72,19,2023-04-12 00:00:00,1
30,57,5,2023-02-17 00:00:00,3
31,25,4,2023-05-24 00:00:00,2
32,80,20,2023-12-16 00:00:00,3
33,42,8,2023-03-10 00:00:00,4
34,19,9,2023-11-26 00:00:00,2
35,41,14,2023-07-18 00:00:00,3
36,55,6,2023-06-16 00:00:00,1
37,80,1,2023-11-18 00:00:00,3
38,12,9,2023-06-17 00:00:00,1
39,39,16,2023-09-22 00:00:00,3
40,94,16,2023-05-26 00:00:00,1
41,2,12,2023-11-26 00:00:00,1
42,96,5,2023-09-09 00:00:00,3
43,45,8,2023-09-13 00:00:00,2
44,89,14,2023-04-30 00:00:00,1
45,25,11,2023-10-04 00:00:00,4
46,68,15,2023-08-21 00:00:00,3
47,83,18,2023-03-29 00:00:00,4
48,4,20,2023-02-28 00:00:00,1
49,77,4,2023-10-18 00:00:00,1
50,36,10,2023-12-17 00:00:00,3
51,87,19,2023-06-17 00:00:00,4
52,62,3,2023-08-04 00:00:00,1
53,70,20,2023-11-10 00:00:00,4
54,88,12,2023-06-16 00:00:00,2
55,44,19,2023-12-14 00:00:00,3
56,33,14,2023-07-30 00:00:00,1
57,12,2,2023-10-27 00:00:00,3
58,85,7,2023-11-28 00:00:00,4
59,11,11,2023-10-25 00:00:00,3
60,55,17,2023-02-28 00:00:00,4
61,38,17,2023-08-18 00:00:00,4
62,29,4,2023-05-26 00:00:00,2
63,3,18,2023-01-23 00:00:00,3
64,28,11,2023-06-04 00:00:00,4
65,84,10,2023-04-05 00:00:00,3
66,90,13,2023-11-06 00:00:00,3
67,24,14,2023-01-13 00:00:00,3
68,54,7,2023-12-17 00:00:00,3
69,52,7,2023-05-10 00:00:00,1
70,47,8,2023-05-11 00:00:00,4
71,21,9,2023-01-06 00:00:00,3
72,54,14,2023-03-09 00:00:00,1
73,30,8,2023-05-27 00:00:00,1
74,68,17,2023-12-06 00:00:00,2
75,36,16,2023-02-06 00:00:00,2
76,40,9,2023-12-12 00:00:00,3
77,10,4,2023-11-14 00:00:00,2
78,74,7,2023-06-15 00:00:00,1
79,42,18,2023-04-30 00:00:00,4
80,24,8,2023-03-26 00:00:00,3
81,4,3,2023-08-13 00:00:00,2
82,47,17,2023-01-13 00:00:00,4
83,91,19,2023-01-06 00:00:00,1
84,51,14,2023-06-06 00:00:00,2
85,4,5,2023-01-25 00:00:00,3
86,32,5,2023-04-02 00:00:00,2
87,10,13,2023-03-22 00:00:00,3
88,11,18,2023-04-03 00:00:00,3
89,28,2,2023-02-17 00:00:00,2
90,46,6,2023-01-05 00:00:00,3
91,72,2,2023-02-12 00:00:00,3
92,40,20,2023-08-14 00:00:00,3
93,62,20,2023-12-22 00:00:00,4
94,86,8,2023-12-28 00:00:00,3
95,98,10,2023-05-30 00:00:00,2
96,45,18,2023-03-01 00:00:00,3
97,35,10,2023-08-22 00:00:00,3
98,35,1,2023-06-28 00:00:00,3
99,89,20,2023-12-28 00:00:00,4
100,34,5,2023-01-24 00:00:00,3
101,6,18,2023-10-13 00:00:00,1
102,37,17,2023-04-16 00:00:00,2
103,1,4,2023-03-30 00:00:00,2
104,76,11,2023-08-30 00:00:00,4
